accident_year,valuation_year,dev_year,paid_to_date,reserve_amount,incurred_amount
2015,2015,1,75130.05,557020.4,632150.45
2015,2016,2,500300.62,278167.35,778467.97
2015,2017,3,719932.88,101990.22,821923.1
2015,2018,4,843449.44,641.9,844091.34
2015,2019,5,843449.44,4035.76,847485.2
2015,2020,6,843449.44,5899.62,849349.06
2015,2021,7,843449.44,5634.02,849083.46
2015,2022,8,843449.44,9780.18,853229.62
2015,2023,9,843449.44,9664.94,853114.38
2015,2024,10,843449.44,15315.72,858765.16
2016,2016,1,278549.31,1237552.38,1516101.69
2016,2017,2,1281385.88,583727.6,1865113.48
2016,2018,3,1765851.08,189115.79,1954966.87
2016,2019,4,1980940.18,1904.19,1982844.37
2016,2020,5,1980940.18,16141.45,1997081.63
2016,2021,6,1980940.18,12066.43,1993006.61
2016,2022,7,1980940.18,20703.13,2001643.31
2016,2023,8,1980940.18,13847.01,1994787.19
2016,2024,9,1980940.18,29336.31,2010276.49
2017,2017,1,348644.74,1306474.79,1655119.53
2017,2018,2,1484371.89,508414.16,1992786.05
2017,2019,3,1977567.74,109486.86,2087054.6
2017,2020,4,2116577.15,2062.29,2118639.44
2017,2021,5,2116577.15,4446.98,2121024.13
2017,2022,6,2116577.15,19180.71,2135757.86
2017,2023,7,2116577.15,24389.19,2140966.34
2017,2024,8,2116577.15,21708.17,2138285.32
2018,2018,1,329020.28,1337760.46,1666780.74
2018,2019,2,1409950.47,607814.59,2017765.06
2018,2020,3,1996825.4,111634.4,2108459.8
2018,2021,4,2153513.33,916.03,2154429.36
2018,2022,5,2153513.33,10348.49,2163861.82
2018,2023,6,2153513.33,16086.61,2169599.94
2018,2024,7,2153513.33,15192.03,2168705.36
2019,2019,1,421708.06,1590056.27,2011764.33
2019,2020,2,1648265.49,777351.31,2425616.8
2019,2021,3,2176879.95,420100.97,2596980.92
2019,2022,4,2668193.09,2045.12,2670238.21
2019,2023,5,2668193.09,22471.6,2690664.69
2019,2024,6,2668193.09,16133.57,2684326.66
2020,2020,1,608134.85,883769.07,1491903.92
2020,2021,2,1437215.58,370468.86,1807684.44
2020,2022,3,1844655.51,126437.65,1971093.16
2020,2023,4,2002369.55,731.03,2003100.58
2020,2024,5,2002369.55,5602.91,2007972.46
2021,2021,1,333406.59,1122754.39,1456160.98
2021,2022,2,1437054.98,433834.74,1870889.72
2021,2023,3,1846316.73,166581.62,2012898.35
2021,2024,4,2124253.13,1186.03,2125439.16
2022,2022,1,458872.61,1524941.77,1983814.38
2022,2023,2,1540058.68,954359.73,2494418.41
2022,2024,3,2562487.87,159405.51,2721893.38
2023,2023,1,548562.38,1745842.21,2294404.59
2023,2024,2,2158857.89,705841.06,2864698.95
2024,2024,1,604335.81,1917952.39,2522288.2
