policy_number,inception_date,policy_holder_id,premium_amount,region,expiration_date,date_month,earned_exposure,earned_premium
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-02-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-03-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-04-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-05-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-06-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-07-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-08-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-09-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-10-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-11-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2019-12-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2020-01-01,0.08333333333333333,46.27232637874454
P000000,2019-02-28,62931,555.2679165449345,North,2020-02-28,2020-02-01,0.08333333333333333,46.27232637874454
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2015-12-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-01-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-02-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-03-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-04-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-05-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-06-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-07-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-08-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-09-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-10-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-11-01,0.08333333333333333,38.03333392375653
P000001,2015-12-25,86266,456.40000708507836,North,2016-12-25,2016-12-01,0.08333333333333333,38.03333392375653
P000002,2022-01-01,20016,653.5252816950887,West,2023-01-01,2022-01-01,0.08333333333333333,54.460440141257386
P000002,2022-01-01,20016,653.5252816950887,West,2023-01-01,2022-02-01,0.08333333333333333,54.460440141257386
