payment_id,claim_id,payment_date,payment_amount
P0f37175042a7,CL0000001,2019-01-27,1272.99
Pe6db0102632b,CL0000002,2020-08-12,3675.1
P26f8a0c5f9b4,CL0000002,2020-12-12,5942.72
P6957d0f86ad4,CL0000003,2020-02-18,3659.55
P509b8b42979d,CL0000003,2020-03-18,3459.79
P6abf22537b5b,CL0000003,2020-05-18,8504.87
Pdd126dd4092b,CL0000004,2024-06-01,2393.71
Pb28a92005c90,CL0000005,2024-09-18,7446.53
Pbb2814c8ba22,CL0000005,2024-10-18,1754.81
P7e84cabc9a15,CL0000005,2024-11-18,3392.09
P0936de6bc3d3,CL0000006,2024-09-28,5670.74
P34ae0fc26ae7,CL0000007,2024-12-01,557.53
P080a0d83bead,CL0000008,2017-10-02,6654.16
P11905fd83f0a,CL0000008,2018-01-02,1099.63
P01db4e1b75cd,CL0000009,2020-06-08,532.76
P9c696821a2d3,CL0000009,2020-08-08,751.91
P9247a557b309,CL0000009,2020-09-08,80.8
P7fdb9ce5f7c5,CL0000009,2021-05-08,1573.84
Pb36afd45ff4d,CL0000010,2024-06-09,7268.7
Pd724fad57e32,CL0000010,2024-07-09,577.68
P27d2ccdc1a0d,CL0000010,2024-09-09,17157.82
P7aa6c18dd7f3,CL0000011,2023-01-14,1166.81
P9100fceb9c16,CL0000011,2023-02-14,389.92
P95d473357703,CL0000011,2023-06-14,571.08
P0da5c9d14b43,CL0000011,2023-08-14,970.91
P61f95482c938,CL0000012,2023-03-09,337.5
P98984607d16f,CL0000012,2023-05-09,101.32
P99611d70b2b1,CL0000012,2023-10-09,1141.08
Pcd87a23d9676,CL0000012,2023-11-09,1108.06
P2e29dfee44eb,CL0000013,2018-12-01,11689.96
P222ad4b7020f,CL0000013,2019-03-01,10004.95
Pe30dac5a58b3,CL0000014,2019-02-15,2476.44
P7c515b2ce4f0,CL0000014,2020-01-15,6198.43
Pe805aa824017,CL0000015,2022-06-02,23978.07
Pe1d48651dfaf,CL0000015,2022-09-02,170.46
P0b0840f7aab3,CL0000016,2022-02-23,2938.53
Pce056ab5c4ab,CL0000016,2022-05-23,7207.18
Pad66545cf788,CL0000017,2019-10-24,486.31
P006726b33c4e,CL0000017,2020-09-24,19530.88
P45db128e1c95,CL0000017,2021-02-24,6676.31
