policy_number,inception_date,policy_holder_id,premium_amount,region,expiration_date
C0000000,2023-09-10,13093,19429.213335597135,West,2024-09-10
C0000001,2024-08-08,87258,13725.391924349218,South,2025-08-08
C0000002,2017-05-10,32042,14936.355539009874,North,2018-05-10
C0000003,2018-07-18,62930,25572.06176661159,East,2019-07-18
C0000004,2018-02-04,54413,30264.831743924817,South,2019-02-04
C0000005,2017-12-31,43756,28355.744949484182,South,2018-12-31
C0000006,2023-06-20,63268,21367.936539972216,West,2024-06-20
C0000007,2019-06-27,49214,13891.88616290345,West,2020-06-27
C0000008,2020-12-09,91871,19892.42993309787,South,2021-12-09
C0000009,2016-04-11,38602,31846.30174765376,North,2017-04-11
C0000010,2018-05-23,63331,23993.698542767062,North,2019-05-23
C0000011,2015-11-27,58901,18727.65791792742,East,2016-11-27
C0000012,2019-01-22,73416,24066.775776506,South,2020-01-22
C0000013,2020-11-05,42196,13618.459097378744,West,2021-11-05
C0000014,2024-06-06,15626,16176.236905487174,North,2025-06-06
C0000015,2023-09-07,17424,14396.531416473266,East,2024-09-07
C0000016,2022-12-29,22857,22945.37214052935,South,2023-12-29
C0000017,2015-05-11,29982,24691.912748558323,North,2016-05-11
C0000018,2019-08-13,86961,19031.52686765277,South,2020-08-13
C0000019,2024-04-03,11980,15338.497091979709,South,2025-04-03
C0000020,2017-02-08,58290,19812.637525379338,North,2018-02-08
C0000021,2021-07-19,36431,17223.431509794944,North,2022-07-19
C0000022,2019-02-24,94976,15695.80547732994,North,2020-02-24
C0000023,2024-07-17,92711,22063.900834891883,South,2025-07-17
C0000024,2022-10-24,36385,15876.61154484282,South,2023-10-24
C0000025,2021-08-30,48158,12457.711155856605,East,2022-08-30
C0000026,2018-04-30,33019,13316.586718497027,West,2019-04-30
C0000027,2017-08-13,28639,12320.525124921205,South,2018-08-13
C0000028,2021-05-13,95530,21466.60122667477,West,2022-05-13
C0000029,2018-03-30,31563,20850.258629714102,North,2019-03-30
C0000030,2016-04-04,49341,20540.545238864368,South,2017-04-04
C0000031,2024-04-08,15776,23773.326496956084,East,2025-04-08
C0000032,2015-01-22,46444,28497.956354759383,East,2016-01-22
C0000033,2021-04-19,78916,16685.911852941215,West,2022-04-19
C0000034,2017-01-17,18711,22515.139828397445,North,2018-01-17
C0000035,2022-12-14,84318,12408.231323530741,West,2023-12-14
C0000036,2024-12-11,92970,30140.134174492036,North,2025-12-11
C0000037,2016-04-19,95553,13719.186802034637,East,2017-04-19
C0000038,2017-12-18,40707,16106.459219729491,West,2018-12-18
C0000039,2022-01-02,49110,16658.68774613661,East,2023-01-02
C0000040,2020-08-09,71788,12608.40206148121,East,2021-08-09
C0000041,2024-09-17,92879,20126.098270049624,North,2025-09-17
C0000042,2022-07-10,48827,21251.253491761436,West,2023-07-10
C0000043,2017-09-02,15655,18829.421495819894,West,2018-09-02
C0000044,2019-12-12,54859,12555.645830731584,East,2020-12-12
C0000045,2015-07-09,63625,36134.951822625386,East,2016-07-09
C0000046,2023-03-25,62098,23500.31816438253,North,2024-03-25
C0000047,2022-06-27,25251,43926.21674109517,South,2023-06-27
C0000048,2023-03-25,10526,15653.772606471277,South,2024-03-25
C0000049,2016-07-16,78760,26565.39395039627,East,2017-07-16
C0000050,2020-03-14,57837,25179.417306791565,South,2021-03-14
C0000051,2024-12-17,21536,18266.5622693627,South,2025-12-17
C0000052,2018-06-21,38541,30433.987425821386,South,2019-06-21
C0000053,2022-11-19,89083,17647.98687382103,South,2023-11-19
C0000054,2019-03-09,61027,17885.266890537194,East,2020-03-09
C0000055,2023-10-08,44531,7034.423595905191,South,2024-10-08
C0000056,2024-09-26,18712,22532.374397260162,South,2025-09-26
C0000057,2016-10-08,75455,13391.119287555463,North,2017-10-08
C0000058,2020-08-30,84744,16895.179799961985,East,2021-08-30
C0000059,2022-11-28,15109,14649.098963803106,West,2023-11-28
C0000060,2021-01-23,59268,17856.636988868937,West,2022-01-23
C0000061,2018-07-21,64615,22769.201014887814,North,2019-07-21
C0000062,2021-09-01,92503,19997.0985380524,North,2022-09-01
C0000063,2016-08-23,39759,24658.880718689852,East,2017-08-23
C0000064,2021-06-21,95708,29134.80715894342,West,2022-06-21
C0000065,2020-08-23,70112,17842.904817934108,South,2021-08-23
C0000066,2015-08-30,36589,17264.88290176169,North,2016-08-30
C0000067,2020-08-03,40015,26564.16207909345,West,2021-08-03
C0000068,2022-09-25,39009,27203.860887980412,East,2023-09-25
C0000069,2024-05-10,93309,24888.90150581547,South,2025-05-10
C0000070,2022-02-25,72046,14978.129128424154,East,2023-02-25
C0000071,2023-01-24,36143,22624.677620535065,North,2024-01-24
C0000072,2018-09-25,16154,20595.77385815331,West,2019-09-25
C0000073,2020-11-09,31804,27330.502971812748,West,2021-11-09
