claim_id,valuation_date,case_reserve_amount,expense_reserve_amount
CL0000001,2018-08-27,789.23,78.92
CL0000001,2018-09-27,783.1,78.31
CL0000001,2018-10-27,847.95,84.79
CL0000001,2018-11-27,830.06,83.01
CL0000001,2018-12-27,867.13,86.71
CL0000001,2019-01-27,0.0,0.0
CL0000001,2019-02-27,0.0,0.0
CL0000001,2019-03-27,0.0,0.0
CL0000001,2019-04-27,0.0,0.0
CL0000001,2019-05-27,0.0,0.0
CL0000001,2019-06-27,0.0,0.0
CL0000001,2019-07-27,0.0,0.0
CL0000001,2019-08-27,0.0,0.0
CL0000001,2019-09-27,0.0,0.0
CL0000001,2019-10-27,0.0,0.0
CL0000001,2019-11-27,0.0,0.0
CL0000001,2019-12-27,0.0,0.0
CL0000001,2020-01-27,0.0,0.0
CL0000001,2020-02-27,0.0,0.0
CL0000001,2020-03-27,0.0,0.0
CL0000001,2020-04-27,0.0,0.0
CL0000001,2020-05-27,0.0,0.0
CL0000001,2020-06-27,0.0,0.0
CL0000001,2020-07-27,0.0,0.0
CL0000001,2020-08-27,0.0,0.0
CL0000001,2020-09-27,0.0,0.0
CL0000001,2020-10-27,0.0,0.0
CL0000001,2020-11-27,0.0,0.0
CL0000001,2020-12-27,0.0,0.0
CL0000001,2021-01-27,0.0,0.0
CL0000001,2021-02-27,0.0,0.0
CL0000001,2021-03-27,0.0,0.0
CL0000001,2021-04-27,0.0,0.0
CL0000001,2021-05-27,0.0,0.0
CL0000001,2021-06-27,0.0,0.0
CL0000001,2021-07-27,0.0,0.0
CL0000001,2021-08-27,0.0,0.0
CL0000001,2021-09-27,0.0,0.0
CL0000001,2021-10-27,0.0,0.0
CL0000001,2021-11-27,0.0,0.0
CL0000001,2021-12-27,0.0,0.0
CL0000001,2022-01-27,0.0,0.0
CL0000001,2022-02-27,0.0,0.0
CL0000001,2022-03-27,0.0,0.0
CL0000001,2022-04-27,0.0,0.0
CL0000001,2022-05-27,0.0,0.0
CL0000001,2022-06-27,1.54,0.15
CL0000001,2022-07-27,0.0,0.0
CL0000001,2022-08-27,0.0,0.0
CL0000001,2022-09-27,0.0,0.0
CL0000001,2022-10-27,11.25,1.12
CL0000001,2022-11-27,0.0,0.0
CL0000001,2022-12-27,0.0,0.0
CL0000001,2023-01-27,43.99,4.4
CL0000001,2023-02-27,0.0,0.0
CL0000001,2023-03-27,0.0,0.0
CL0000001,2023-04-27,0.0,0.0
CL0000001,2023-05-27,0.0,0.0
CL0000001,2023-06-27,0.0,0.0
CL0000001,2023-07-27,0.0,0.0
CL0000001,2023-08-27,0.0,0.0
CL0000001,2023-09-27,0.0,0.0
CL0000001,2023-10-27,0.0,0.0
CL0000001,2023-11-27,3.93,0.39
CL0000001,2023-12-27,0.0,0.0
CL0000001,2024-01-27,0.0,0.0
CL0000001,2024-02-27,0.0,0.0
CL0000001,2024-03-27,0.0,0.0
CL0000001,2024-04-27,0.0,0.0
CL0000001,2024-05-27,0.0,0.0
CL0000001,2024-06-27,0.0,0.0
CL0000001,2024-07-27,0.0,0.0
CL0000001,2024-08-27,0.0,0.0
CL0000001,2024-09-27,38.55,3.85
CL0000001,2024-10-27,0.0,0.0
CL0000001,2024-11-27,0.0,0.0
CL0000001,2024-12-27,39.57,3.96
CL0000002,2019-06-12,5472.5,547.25
CL0000002,2019-07-12,5848.56,584.86
CL0000002,2019-08-12,6253.88,625.39
CL0000002,2019-09-12,6320.59,632.06
CL0000002,2019-10-12,6630.11,663.01
CL0000002,2019-11-12,6342.39,634.24
CL0000002,2019-12-12,7016.97,701.7
CL0000002,2020-01-12,7203.67,720.37
CL0000002,2020-02-12,7140.38,714.04
CL0000002,2020-03-12,7707.46,770.75
CL0000002,2020-04-12,7560.62,756.06
CL0000002,2020-05-12,7522.09,752.21
CL0000002,2020-06-12,7970.95,797.1
CL0000002,2020-07-12,7768.94,776.89
CL0000002,2020-08-12,3957.76,395.78
CL0000002,2020-09-12,4464.12,446.41
CL0000002,2020-10-12,4725.98,472.6
CL0000002,2020-11-12,4072.77,407.28
CL0000002,2020-12-12,0.0,0.0
CL0000002,2021-01-12,0.0,0.0
CL0000002,2021-02-12,0.0,0.0
CL0000002,2021-03-12,0.0,0.0
CL0000002,2021-04-12,0.0,0.0
CL0000002,2021-05-12,0.0,0.0
CL0000002,2021-06-12,0.0,0.0
CL0000002,2021-07-12,0.0,0.0
CL0000002,2021-08-12,0.0,0.0
CL0000002,2021-09-12,0.0,0.0
CL0000002,2021-10-12,0.0,0.0
CL0000002,2021-11-12,0.0,0.0
CL0000002,2021-12-12,0.0,0.0
CL0000002,2022-01-12,0.0,0.0
CL0000002,2022-02-12,0.0,0.0
CL0000002,2022-03-12,0.0,0.0
CL0000002,2022-04-12,0.0,0.0
CL0000002,2022-05-12,0.0,0.0
CL0000002,2022-06-12,0.0,0.0
CL0000002,2022-07-12,0.0,0.0
CL0000002,2022-08-12,0.0,0.0
CL0000002,2022-09-12,0.0,0.0
CL0000002,2022-10-12,338.15,33.82
CL0000002,2022-11-12,0.0,0.0
CL0000002,2022-12-12,0.0,0.0
CL0000002,2023-01-12,0.0,0.0
CL0000002,2023-02-12,0.0,0.0
CL0000002,2023-03-12,0.0,0.0
CL0000002,2023-04-12,0.0,0.0
CL0000002,2023-05-12,0.0,0.0
CL0000002,2023-06-12,110.85,11.08
CL0000002,2023-07-12,0.0,0.0
CL0000002,2023-08-12,0.0,0.0
CL0000002,2023-09-12,0.0,0.0
CL0000002,2023-10-12,0.0,0.0
CL0000002,2023-11-12,0.0,0.0
CL0000002,2023-12-12,0.0,0.0
CL0000002,2024-01-12,163.3,16.33
CL0000002,2024-02-12,0.0,0.0
CL0000002,2024-03-12,213.61,21.36
CL0000002,2024-04-12,0.0,0.0
CL0000002,2024-05-12,0.0,0.0
CL0000002,2024-06-12,0.0,0.0
CL0000002,2024-07-12,0.0,0.0
CL0000002,2024-08-12,241.07,24.11
CL0000002,2024-09-12,0.0,0.0
CL0000002,2024-10-12,0.0,0.0
CL0000002,2024-11-12,0.0,0.0
CL0000002,2024-12-12,0.0,0.0
CL0000003,2019-07-18,9571.75,957.17
CL0000003,2019-08-18,9501.26,950.13
CL0000003,2019-09-18,9676.0,967.6
CL0000003,2019-10-18,10068.53,1006.85
CL0000003,2019-11-18,10415.18,1041.52
CL0000003,2019-12-18,10903.38,1090.34
CL0000003,2020-01-18,10747.04,1074.7
CL0000003,2020-02-18,7811.23,781.12
CL0000003,2020-03-18,4847.22,484.72
CL0000003,2020-04-18,5105.98,510.6
CL0000003,2020-05-18,0.0,0.0
CL0000003,2020-06-18,0.0,0.0
CL0000003,2020-07-18,0.0,0.0
CL0000003,2020-08-18,0.0,0.0
CL0000003,2020-09-18,0.0,0.0
CL0000003,2020-10-18,0.0,0.0
CL0000003,2020-11-18,0.0,0.0
CL0000003,2020-12-18,0.0,0.0
CL0000003,2021-01-18,0.0,0.0
CL0000003,2021-02-18,0.0,0.0
CL0000003,2021-03-18,0.0,0.0
CL0000003,2021-04-18,0.0,0.0
CL0000003,2021-05-18,0.0,0.0
CL0000003,2021-06-18,0.0,0.0
CL0000003,2021-07-18,0.0,0.0
CL0000003,2021-08-18,0.0,0.0
CL0000003,2021-09-18,0.0,0.0
CL0000003,2021-10-18,0.0,0.0
CL0000003,2021-11-18,0.0,0.0
CL0000003,2021-12-18,0.0,0.0
CL0000003,2022-01-18,0.0,0.0
CL0000003,2022-02-18,0.0,0.0
